title,url,date,location,source,calendar_url
Claude 4 Hack London,https://lu.ma/1hkhek5n,2025-06-19,"London, England",luma,https://lu.ma/anthropicedu
Hackathon to Build Tools for Community Organisers with Matrix,https://lu.ma/eop2uyeg,2025-06-22,SPACE4,luma,https://lu.ma/CampaignLab
Campaign Lab Summer Hack Night!,https://lu.ma/9o48neel,2025-06-30,Newspeak House,luma,https://lu.ma/CampaignLab
Campaign Lab Summer Hack Night!,https://lu.ma/bcibe1o2,2025-07-14,Newspeak House,luma,https://lu.ma/CampaignLab
Campaign Lab Summer Hack Night!,https://lu.ma/hs6dbohf,2025-07-28,Newspeak House,luma,https://lu.ma/CampaignLab
Campaign Lab Summer Hack Night!,https://lu.ma/5f6u9w8i,2025-08-11,Newspeak House,luma,https://lu.ma/CampaignLab
Campaign Lab Summer Hack Night!,https://lu.ma/fqlzlcdy,2025-08-25,Newspeak House,luma,https://lu.ma/CampaignLab
Vibe Coding Hack by Encode,https://lu.ma/5k1gfcc6,2025-06-20,Encode Hub,luma,https://lu.ma/encode-club
Encode London Research Conference and Hackathon,https://lu.ma/Encode-London-25,2025-10-24,London,luma,https://lu.ma/encode-club
IRL Hack Night,https://lu.ma/aikbl6vz,2025-06-29,Toronto,luma,https://lu.ma/hack-club
HackWimbledon/Code,https://lu.ma/5ryj5bg4,2025-07-06,Wimbletech,luma,https://lu.ma/hackwimbledon
HackWimbledon/Make,https://lu.ma/0r6y4cni,2025-07-27,Wimbletech,luma,https://lu.ma/hackwimbledon
Hacking Agents Hackathon London,https://lu.ma/hacking-agents-hackathon-london,2025-06-20,"London, England",luma,https://lu.ma/langflow
Hacking Agents AI Meetup - June Edition,https://lu.ma/hacking-agents-june,2025-06-24,2625 Augustine Dr suite 125,luma,https://lu.ma/langflow
Hacking Agents AI Meetup - July Edition,https://lu.ma/suvm1us5,2025-08-01,AWS Builder Loft,luma,https://lu.ma/langflow
ElevenLabs × LFH Build Weekend (powered by Bolt.new’s $1M Hackathon),https://lu.ma/nugckc58,2025-06-28,"London, England",luma,https://lu.ma/lfh
Claude 4 Hack London,https://lu.ma/1hkhek5n,2025-06-19,London,luma,https://lu.ma/tech-europe
{Tech: Europe} London AI Hack,https://lu.ma/london-hack,2025-06-28,London,luma,https://lu.ma/tech-europe
AI Search Analytics Hackathon - €10k Cash Prize,https://lu.ma/ai-search-hack,2025-07-05,Berlin,luma,https://lu.ma/tech-europe
{Tech: Europe} Munich Hackathon,https://lu.ma/tech-munich,2025-10-25,Tacto,luma,https://lu.ma/tech-europe
